attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387193,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,39781,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387218,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,47040,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387243,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,60846,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387265,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44121,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387275,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,57149,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
48370,387299,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,35482,53,ips,signature
